"time (s)","VT("/leds<7>")","VT("/leds<6>")","VT("/leds<5>")","VT("/leds<4>")","VT("/leds<3>")","VT("/leds<2>")","VT("/leds<1>")","VT("/leds<0>")","VT("/net61<7>")"
0.00000,"x","x","x","x","x","x","x","x","x"
71.0E-9,"x","x","x","x","x","x","x","x","0"
1.951E-6,"0","0","0","0","0","0","0","0","0"
2.051E-6,"1","0","0","0","0","0","0","0","0"
4.071E-6,"0","1","0","0","0","0","0","0","0"
5.591E-6,"0","0","1","0","0","0","0","0","0"
7.111E-6,"0","0","0","1","0","0","0","0","0"
8.631E-6,"0","0","0","0","1","0","0","0","0"
10.15E-6,"0","0","0","0","0","1","0","0","0"
11.67E-6,"0","0","0","0","0","0","1","0","0"
13.19E-6,"0","0","0","0","0","0","0","1","0"
14.71E-6,"0","0","0","0","0","0","0","0","0"
14.93E-6,"1","0","0","0","0","0","0","0","0"
16.33E-6,"0","1","0","0","0","0","0","0","0"
17.85E-6,"0","0","1","0","0","0","0","0","0"
19.37E-6,"0","0","0","1","0","0","0","0","0"
20.0E-6,"0","0","0","1","0","0","0","0","1"
20.05E-6,"0","0","0","1","0","0","0","0","0"
21.85E-6,"0","0","1","0","0","0","0","0","0"
23.35E-6,"0","1","0","0","0","0","0","0","0"
24.85E-6,"1","0","0","0","0","0","0","0","0"
26.35E-6,"0","0","0","0","0","0","0","0","0"
26.55E-6,"0","0","0","0","0","0","0","1","0"
27.97E-6,"0","0","0","0","0","0","1","0","0"
29.47E-6,"0","0","0","0","0","1","0","0","0"
30.97E-6,"0","0","0","0","1","0","0","0","0"
32.47E-6,"0","0","0","1","0","0","0","0","0"
33.97E-6,"0","0","1","0","0","0","0","0","0"
35.47E-6,"0","1","0","0","0","0","0","0","0"
36.97E-6,"1","0","0","0","0","0","0","0","0"
38.47E-6,"0","0","0","0","0","0","0","0","0"
38.67E-6,"0","0","0","0","0","0","0","1","0"
40.09E-6,"0","0","0","0","0","0","1","0","0"
41.59E-6,"0","0","0","0","0","1","0","0","0"
43.09E-6,"0","0","0","0","1","0","0","0","0"
44.59E-6,"0","0","0","1","0","0","0","0","0"
46.09E-6,"0","0","1","0","0","0","0","0","0"
47.59E-6,"0","1","0","0","0","0","0","0","0"
48.73E-6,"0","1","0","0","0","0","0","0","0"
49.09E-6,"1","0","0","0","0","0","0",,"0"
49.39E-6,"1","0","0","0","0","0","0",,"0"
50.0E-6,"1","0","0","0","0","0",,,"0"
