"time (s)","/A (V)","/B (V)","/VP (V)","/S (V)","/Cout (V)"
0.00000,0.00000,0.00000,0.00000,6.104E-9,1.027E-9
9.766E-15,1.758E-3,1.758E-3,29.22E-6,8.029E-6,30.77E-6
13.08E-15,2.355E-3,2.355E-3,36.43E-6,10.21E-6,38.79E-6
14.74E-15,2.654E-3,2.654E-3,39.72E-6,11.28E-6,42.53E-6
18.06E-15,3.251E-3,3.251E-3,45.42E-6,13.33E-6,49.33E-6
23.43E-15,4.217E-3,4.217E-3,52.61E-6,16.42E-6,59.01E-6
29.02E-15,5.224E-3,5.224E-3,58.25E-6,19.43E-6,68.22E-6
30.56E-15,5.501E-3,5.501E-3,59.53E-6,20.22E-6,70.64E-6
33.63E-15,6.054E-3,6.054E-3,61.89E-6,21.78E-6,75.48E-6
39.78E-15,7.161E-3,7.161E-3,66.18E-6,24.84E-6,85.4E-6
42.12E-15,7.582E-3,7.582E-3,67.69E-6,25.99E-6,89.29E-6
46.81E-15,8.425E-3,8.425E-3,70.63E-6,28.29E-6,97.34E-6
56.17E-15,10.11E-3,10.11E-3,76.3E-6,32.88E-6,114.6E-6
69.17E-15,12.45E-3,12.45E-3,83.94E-6,39.28E-6,141.5E-6
73.13E-15,13.16E-3,13.16E-3,86.22E-6,41.23E-6,150.3E-6
81.03E-15,14.59E-3,14.59E-3,90.75E-6,45.16E-6,168.9E-6
96.84E-15,17.43E-3,17.43E-3,99.77E-6,53.08E-6,209.5E-6
117.4E-15,21.12E-3,21.12E-3,111.5E-6,63.53E-6,269.0E-6
123.0E-15,22.13E-3,22.13E-3,114.7E-6,66.43E-6,286.6E-6
134.2E-15,24.16E-3,24.16E-3,121.2E-6,72.28E-6,323.4E-6
156.7E-15,28.2E-3,28.2E-3,134.5E-6,84.21E-6,403.4E-6
163.2E-15,29.37E-3,29.37E-3,138.4E-6,87.72E-6,428.1E-6
176.2E-15,31.71E-3,31.71E-3,146.4E-6,94.82E-6,479.5E-6
202.2E-15,36.39E-3,36.39E-3,162.8E-6,109.4E-6,590.3E-6
233.5E-15,42.03E-3,42.03E-3,183.6E-6,127.5E-6,737.0E-6
242.2E-15,43.6E-3,43.6E-3,189.7E-6,132.7E-6,780.4E-6
