"time (s)","VT("/net141<0:15>")","VT("/net142<0:15>")"
0.00000,"xxxx","xxxx"
71.0E-9,"0002","0000"
3.491E-6,"0003","0000"
3.711E-6,"0003","0001"
5.011E-6,"0004","0001"
5.231E-6,"0004","0002"
6.531E-6,"0005","0002"
6.751E-6,"0005","0003"
8.051E-6,"0006","0003"
8.271E-6,"0006","0004"
9.571E-6,"0007","0004"
9.791E-6,"0007","0005"
11.09E-6,"0008","0005"
11.31E-6,"0008","0006"
12.61E-6,"0009","0006"
12.83E-6,"0009","0007"
14.13E-6,"000a","0007"
14.35E-6,"000a","0008"
15.75E-6,"000b","0008"
15.97E-6,"000b","0009"
17.27E-6,"000c","0009"
17.49E-6,"000c","000a"
18.79E-6,"000d","000a"
19.01E-6,"000d","000b"
21.29E-6,"000e","000b"
21.51E-6,"000e","000c"
22.79E-6,"000f","000c"
23.01E-6,"000f","000d"
24.29E-6,"0010","000d"
24.51E-6,"0010","000e"
25.79E-6,"0011","000e"
26.01E-6,"0011","000f"
27.41E-6,"0012","000f"
27.63E-6,"0012","0010"
28.91E-6,"0013","0010"
29.13E-6,"0013","0011"
30.41E-6,"0014","0011"
30.63E-6,"0014","0012"
31.91E-6,"0015","0012"
32.13E-6,"0015","0013"
33.41E-6,"0016","0013"
33.63E-6,"0016","0014"
34.91E-6,"0017","0014"
35.13E-6,"0017","0015"
36.41E-6,"0018","0015"
36.63E-6,"0018","0016"
37.91E-6,"0019","0016"
38.13E-6,"0019","0017"
39.53E-6,"001a","0017"
39.75E-6,"001a","0018"
41.03E-6,"001b","0018"
41.25E-6,"001b","0019"
42.53E-6,"001c","0019"
42.75E-6,"001c","001a"
44.03E-6,"001d","001a"
44.25E-6,"001d","001b"
45.53E-6,"001e","001b"
45.75E-6,"001e","001c"
47.03E-6,"001f","001c"
47.25E-6,"001f","001d"
48.53E-6,"0020","001d"
48.75E-6,"0020","001e"
50.0E-6,"0020","001e"
